"","GP","village","reserved","female","irrigation","water"
"1",1,2,1,1,0,10
"2",1,1,1,1,5,0
"3",2,2,1,1,2,2
"4",2,1,1,1,4,31
"5",3,2,0,0,0,0
"6",3,1,0,0,0,0
"7",4,2,0,0,4,7
"8",4,1,0,0,0,12
"9",5,2,0,0,0,28
"10",5,1,0,0,0,0
"11",6,2,0,0,0,23
"12",6,1,0,0,4,12
"13",7,2,0,0,0,0
"14",7,1,0,0,0,0
"15",8,2,1,1,4,41
"16",8,1,1,1,5,23
"17",9,2,0,0,0,0
"18",9,1,0,0,1,0
"19",10,2,0,0,9,12
"20",10,1,0,0,52,59
"21",11,2,0,0,20,70
"22",11,1,0,0,5,7
"23",12,2,0,0,0,2
"24",12,1,0,0,0,3
"25",13,2,0,0,32,23
"26",13,1,0,0,0,0
"27",14,2,1,1,0,1
"28",14,1,1,1,0,1
"29",15,2,1,1,2,0
"30",15,1,1,1,12,0
"31",16,2,0,0,0,5
"32",16,1,0,0,0,6
"33",17,2,0,0,1,10
"34",17,1,0,0,0,3
"35",18,2,1,1,1,7
"36",18,1,1,1,0,10
"37",19,2,0,0,0,41
"38",19,1,0,0,0,76
"39",20,2,1,1,0,0
"40",20,1,1,1,21,123
"41",21,2,0,0,1,1
"42",21,1,0,0,0,7
"43",22,2,0,0,0,0
"44",22,1,0,0,0,0
"45",23,2,0,0,0,2
"46",23,1,0,0,0,18
"47",24,2,0,0,7,18
"48",24,1,0,0,0,16
"49",25,2,1,1,21,340
"50",25,1,1,1,15,6
"51",26,2,0,1,5,5
"52",26,1,0,1,5,0
"53",27,2,1,1,40,309
"54",27,1,1,1,0,4
"55",28,2,0,0,0,5
"56",28,1,0,0,0,8
"57",29,2,0,0,0,9
"58",29,1,0,0,3,0
"59",30,2,1,1,7,31
"60",30,1,1,1,0,200
"61",31,2,0,0,0,20
"62",31,1,0,0,0,12
"63",32,2,0,0,0,28
"64",32,1,0,0,5,41
"65",33,2,0,0,0,0
"66",33,1,0,0,1,0
"67",34,2,1,1,0,10
"68",34,1,1,1,0,5
"69",35,2,0,0,0,2
"70",35,1,0,0,15,4
"71",36,2,0,0,3,59
"72",36,1,0,0,0,19
"73",37,2,1,1,0,8
"74",37,1,1,1,0,1
"75",38,2,0,0,0,10
"76",38,1,0,0,0,4
"77",39,2,0,0,0,16
"78",39,1,0,0,0,2
"79",40,2,0,0,0,5
"80",40,1,0,0,0,3
"81",41,2,0,0,0,10
"82",41,1,0,0,0,3
"83",42,2,0,0,0,9
"84",42,1,0,0,0,6
"85",43,2,1,1,0,1
"86",43,1,1,1,7,7
"87",44,2,1,1,2,25
"88",44,1,1,1,0,0
"89",45,2,0,0,0,11
"90",45,1,0,0,0,0
"91",46,2,1,1,1,13
"92",46,1,1,1,0,4
"93",47,2,0,0,0,17
"94",47,1,0,0,0,17
"95",48,2,1,1,0,5
"96",48,1,1,1,0,8
"97",49,2,1,1,10,78
"98",49,1,1,1,0,19
"99",50,2,0,0,0,2
"100",50,1,0,0,7,41
"101",51,2,1,1,6,0
"102",51,1,1,1,0,3
"103",52,2,0,0,0,8
"104",52,1,0,0,0,5
"105",53,2,0,0,0,21
"106",53,1,0,0,0,6
"107",54,2,0,0,15,26
"108",54,1,0,0,2,9
"109",55,2,0,0,10,8
"110",55,1,0,0,0,3
"111",56,2,0,0,0,0
"112",56,1,0,0,0,1
"113",57,2,1,1,0,9
"114",57,1,1,1,0,10
"115",58,2,0,0,0,11
"116",58,1,0,0,0,12
"117",59,2,1,1,0,0
"118",59,1,1,1,0,5
"119",60,2,0,0,0,24
"120",60,1,0,0,0,24
"121",61,2,0,0,0,0
"122",61,1,0,0,0,10
"123",62,2,1,1,0,0
"124",62,1,1,1,0,144
"125",63,2,1,1,0,2
"126",63,1,1,1,0,5
"127",64,2,0,0,0,6
"128",64,1,0,0,0,1
"129",65,2,1,1,0,43
"130",65,1,1,1,0,9
"131",66,2,1,1,0,38
"132",66,1,1,1,5,25
"133",67,2,0,0,0,11
"134",67,1,0,0,0,15
"135",68,2,0,0,0,0
"136",68,1,0,0,0,9
"137",69,2,0,0,0,30
"138",69,1,0,0,0,2
"139",70,2,1,1,0,98
"140",70,1,1,1,0,44
"141",71,2,0,0,0,1
"142",71,1,0,0,0,5
"143",72,2,1,1,0,2
"144",72,1,1,1,0,4
"145",73,2,0,0,0,10
"146",73,1,0,0,0,14
"147",74,2,0,0,0,0
"148",74,1,0,0,0,0
"149",75,2,0,0,0,3
"150",75,1,0,0,13,23
"151",76,2,0,0,0,1
"152",76,1,0,0,0,10
"153",77,2,0,0,0,5
"154",77,1,0,0,0,9
"155",78,2,1,1,0,6
"156",78,1,1,1,0,2
"157",79,2,0,0,0,0
"158",79,1,0,0,5,6
"159",80,2,1,1,0,8
"160",80,1,1,1,0,7
"161",81,2,0,0,0,0
"162",81,1,0,0,3,4
"163",82,2,0,0,3,11
"164",82,1,0,0,0,17
"165",83,2,1,1,0,0
"166",83,1,1,1,6,13
"167",84,2,0,1,1,9
"168",84,1,0,1,0,5
"169",85,2,0,0,0,0
"170",85,1,0,0,0,4
"171",86,2,0,1,0,12
"172",86,1,0,1,1,13
"173",87,2,0,0,0,4
"174",87,1,0,0,0,28
"175",88,2,0,0,1,1
"176",88,1,0,0,1,13
"177",89,2,0,0,0,8
"178",89,1,0,0,0,0
"179",90,2,1,1,0,3
"180",90,1,1,1,2,6
"181",91,2,1,1,0,3
"182",91,1,1,1,0,16
"183",92,2,0,1,0,54
"184",92,1,0,1,15,2
"185",93,2,0,0,0,8
"186",93,1,0,0,0,23
"187",94,2,0,0,1,9
"188",94,1,0,0,0,12
"189",95,2,1,1,0,11
"190",95,1,1,1,1,5
"191",96,2,0,0,0,16
"192",96,1,0,0,0,2
"193",97,2,1,1,0,9
"194",97,1,1,1,12,15
"195",98,2,1,1,0,12
"196",98,1,1,1,2,8
"197",99,2,0,0,6,13
"198",99,1,0,0,1,7
"199",100,2,1,1,5,2
"200",100,1,1,1,0,7
"201",101,2,0,0,2,20
"202",101,1,0,0,0,3
"203",102,2,1,1,1,60
"204",102,1,1,1,0,6
"205",103,2,0,0,0,3
"206",103,1,0,0,0,3
"207",104,2,0,0,0,22
"208",104,1,0,0,9,7
"209",105,2,0,0,0,13
"210",105,1,0,0,0,22
"211",106,2,0,0,1,8
"212",106,1,0,0,0,14
"213",107,2,0,1,1,2
"214",107,1,0,1,0,24
"215",108,2,0,0,0,13
"216",108,1,0,0,0,21
"217",109,2,1,1,0,5
"218",109,1,1,1,0,8
"219",110,2,0,0,0,24
"220",110,1,0,0,0,7
"221",111,2,1,1,0,18
"222",111,1,1,1,0,29
"223",112,2,0,0,0,26
"224",112,1,0,0,0,10
"225",113,2,0,0,16,40
"226",113,1,0,0,8,10
"227",114,2,1,1,14,7
"228",114,1,1,1,2,16
"229",115,2,1,1,0,7
"230",115,1,1,1,0,5
"231",116,2,0,0,10,12
"232",116,1,0,0,0,4
"233",117,2,0,0,0,20
"234",117,1,0,0,0,9
"235",118,2,1,1,2,71
"236",118,1,1,1,0,5
"237",119,2,0,1,18,4
"238",119,1,0,1,2,17
"239",120,2,0,0,47,47
"240",120,1,0,0,15,9
"241",121,2,0,0,0,25
"242",121,1,0,0,0,62
"243",122,2,0,0,8,58
"244",122,1,0,0,0,6
"245",123,2,1,1,0,5
"246",123,1,1,1,0,15
"247",124,2,0,0,4,8
"248",124,1,0,0,0,12
"249",125,2,1,1,0,32
"250",125,1,1,1,0,17
"251",126,2,0,0,2,10
"252",126,1,0,0,8,4
"253",127,2,0,0,0,3
"254",127,1,0,0,0,3
"255",128,2,1,1,2,16
"256",128,1,1,1,15,3
"257",129,2,1,1,5,86
"258",129,1,1,1,24,11
"259",130,2,1,1,0,21
"260",130,1,1,1,0,5
"261",131,2,0,0,90,54
"262",131,1,0,0,34,8
"263",132,2,0,0,0,19
"264",132,1,0,0,0,4
"265",133,2,0,0,8,77
"266",133,1,0,0,0,44
"267",134,2,1,1,1,4
"268",134,1,1,1,6,4
"269",135,2,1,1,0,26
"270",135,1,1,1,0,10
"271",136,2,0,0,0,21
"272",136,1,0,0,20,46
"273",137,2,0,0,6,30
"274",137,1,0,0,0,20
"275",138,2,0,0,3,10
"276",138,1,0,0,2,2
"277",139,2,0,0,5,90
"278",139,1,0,0,83,155
"279",140,2,0,0,1,23
"280",140,1,0,0,0,8
"281",141,2,1,1,9,20
"282",141,1,1,1,4,22
"283",142,2,0,1,2,25
"284",142,1,0,1,0,20
"285",143,2,1,1,3,21
"286",143,1,1,1,32,59
"287",144,2,0,0,3,8
"288",144,1,0,0,0,1
"289",145,2,0,1,0,25
"290",145,1,0,1,0,4
"291",146,2,0,0,0,7
"292",146,1,0,0,0,40
"293",147,2,1,1,2,7
"294",147,1,1,1,0,0
"295",148,2,0,0,0,19
"296",148,1,0,0,2,3
"297",149,2,0,0,0,40
"298",149,1,0,0,0,2
"299",150,2,1,1,1,17
"300",150,1,1,1,0,9
"301",151,2,0,0,4,7
"302",151,1,0,0,1,42
"303",152,2,0,0,0,1
"304",152,1,0,0,1,3
"305",153,2,0,0,0,3
"306",153,1,0,0,0,66
"307",154,2,0,0,0,6
"308",154,1,0,0,30,35
"309",155,2,0,0,3,51
"310",155,1,0,0,10,13
"311",156,2,0,0,0,7
"312",156,1,0,0,0,16
"313",157,2,0,0,0,20
"314",157,1,0,0,0,21
"315",158,2,0,0,0,3
"316",158,1,0,0,8,4
"317",159,2,1,1,0,11
"318",159,1,1,1,0,29
"319",160,2,1,1,0,2
"320",160,1,1,1,5,5
"321",161,2,0,0,0,2
"322",161,1,0,0,0,11
